,q0001,q0002,q0009,q0025,q0026,q0028,q0029,q0030
397,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
398,Somewhat masculine,Very important,not_employed,True,straight,white,college_graduate,midwest
399,Somewhat masculine,Not at all important,employed,True,straight,not_white,graduate,southeast
400,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,southwest
401,Somewhat masculine,Not too important,employed,True,straight,white,high_school,northeast
402,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,west
403,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,midwest
404,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,midwest
405,Very masculine,Not too important,employed,True,straight,not_white,college_graduate,west
406,Somewhat masculine,Not too important,employed,False,straight,white,high_school,southeast
407,Very masculine,Somewhat important,not_employed,True,straight,white,college_graduate,midwest
408,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,midwest
409,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,midwest
410,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
411,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,west
412,Very masculine,Not at all important,not_employed,True,straight,white,college_graduate,west
413,Somewhat masculine,Very important,employed,True,straight,white,college_graduate,southeast
414,Somewhat masculine,Not too important,employed,True,straight,white,high_school,west
415,Very masculine,Not at all important,employed,True,straight,white,graduate,southwest
416,Very masculine,Not at all important,not_employed,True,straight,white,graduate,west
417,Somewhat masculine,Not too important,not_employed,True,not_straight,white,high_school,southwest
418,Very masculine,Not at all important,not_employed,True,straight,not_white,college_graduate,southwest
419,Very masculine,Very important,not_employed,True,straight,white,college_graduate,northeast
420,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,northeast
421,Somewhat masculine,Not too important,employed,True,straight,white,high_school,southeast
422,Somewhat masculine,Somewhat important,employed,False,straight,not_white,college_graduate,southeast
423,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,midwest
424,Not very masculine,Not at all important,not_employed,True,straight,white,graduate,northeast
425,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,northeast
426,Not very masculine,Not too important,not_employed,True,straight,white,graduate,west
427,Somewhat masculine,Very important,not_employed,False,straight,white,high_school,west
428,Very masculine,Not too important,not_employed,True,straight,not_white,high_school,west
429,Somewhat masculine,Somewhat important,employed,True,straight,not_white,high_school,southeast
430,Very masculine,Not too important,not_employed,False,straight,white,no_high_school,southwest
431,Somewhat masculine,Not too important,employed,False,straight,white,graduate,west
432,Very masculine,Very important,employed,True,straight,white,graduate,midwest
433,Somewhat masculine,Somewhat important,not_employed,False,not_straight,white,high_school,southeast
434,Somewhat masculine,Somewhat important,not_employed,True,straight,not_white,graduate,west
435,Somewhat masculine,Somewhat important,not_employed,True,straight,not_white,college_graduate,west
436,Very masculine,Not too important,employed,False,straight,white,college_graduate,west
437,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
438,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
439,Somewhat masculine,Not too important,not_employed,False,not_straight,white,college_graduate,west
440,Very masculine,Somewhat important,employed,True,straight,white,high_school,northeast
441,Very masculine,Somewhat important,employed,True,straight,white,graduate,northeast
442,Very masculine,Not too important,not_employed,False,straight,white,high_school,southeast
443,Somewhat masculine,Somewhat important,not_employed,True,not_straight,not_white,college_graduate,northeast
444,Very masculine,Not too important,employed,True,straight,white,graduate,west
445,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
446,Very masculine,Not too important,not_employed,True,not_straight,white,graduate,west
447,Very masculine,Somewhat important,employed,True,straight,white,graduate,southeast
448,Somewhat masculine,Somewhat important,employed,False,straight,white,college_graduate,west
449,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,midwest
450,Somewhat masculine,Somewhat important,not_employed,False,straight,not_white,high_school,midwest
451,Somewhat masculine,Not too important,employed,False,not_straight,white,high_school,west
452,Somewhat masculine,Not at all important,employed,True,straight,white,high_school,west
453,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,northeast
454,Not very masculine,Not too important,not_employed,True,straight,white,high_school,southeast
455,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
456,Somewhat masculine,Not at all important,not_employed,False,not_straight,white,high_school,southwest
457,Very masculine,Very important,not_employed,True,straight,white,college_graduate,midwest
458,Somewhat masculine,Very important,not_employed,False,straight,not_white,high_school,west
459,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
460,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,midwest
461,Somewhat masculine,Not at all important,employed,True,straight,white,graduate,midwest
462,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
463,Somewhat masculine,Somewhat important,not_employed,False,not_straight,white,graduate,midwest
464,Somewhat masculine,Very important,employed,True,straight,white,high_school,southeast
465,Somewhat masculine,Very important,employed,False,straight,white,graduate,northeast
466,Very masculine,Not too important,employed,True,straight,white,college_graduate,northeast
467,Very masculine,Not too important,not_employed,True,straight,white,high_school,northeast
468,Somewhat masculine,Not too important,not_employed,True,straight,not_white,high_school,southwest
469,Very masculine,Not at all important,not_employed,True,straight,white,graduate,midwest
470,Very masculine,Very important,employed,True,straight,white,high_school,northeast
471,Very masculine,Not at all important,not_employed,True,straight,white,graduate,southeast
472,Not very masculine,Not too important,employed,False,straight,white,college_graduate,northeast
473,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,midwest
474,Somewhat masculine,Somewhat important,not_employed,False,straight,white,high_school,northeast
475,Very masculine,Not too important,employed,True,straight,white,college_graduate,northeast
476,Very masculine,Not too important,not_employed,False,straight,white,high_school,west
477,Somewhat masculine,Somewhat important,not_employed,False,straight,not_white,graduate,northeast
478,Somewhat masculine,Somewhat important,not_employed,False,not_straight,white,high_school,west
479,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
480,Very masculine,Not too important,employed,True,straight,white,college_graduate,northeast
481,Very masculine,Somewhat important,employed,True,straight,white,high_school,southwest
482,Very masculine,Somewhat important,employed,True,straight,white,high_school,southwest
483,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,northeast
484,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,northeast
485,Very masculine,Very important,not_employed,True,straight,white,graduate,west
486,Very masculine,Somewhat important,employed,True,straight,white,high_school,southeast
487,Very masculine,Somewhat important,not_employed,True,straight,white,college_graduate,southwest
488,Very masculine,Very important,employed,False,straight,white,graduate,northeast
489,Somewhat masculine,Very important,employed,True,straight,white,college_graduate,midwest
490,Somewhat masculine,Not too important,not_employed,False,straight,white,college_graduate,west
491,Not very masculine,Not too important,not_employed,True,not_straight,white,graduate,west
492,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,northeast
493,Very masculine,Somewhat important,employed,False,straight,not_white,graduate,northeast
494,Very masculine,Somewhat important,employed,True,straight,white,high_school,southeast
495,Very masculine,Somewhat important,not_employed,False,straight,white,graduate,southwest
496,Very masculine,Not at all important,not_employed,True,straight,white,college_graduate,west
497,Somewhat masculine,Not too important,employed,True,straight,not_white,college_graduate,southwest
498,Somewhat masculine,Somewhat important,not_employed,False,straight,white,college_graduate,west
499,Not very masculine,Very important,employed,False,not_straight,white,college_graduate,southwest
500,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,northeast
501,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
502,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,midwest
503,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southwest
504,Very masculine,Very important,not_employed,True,straight,white,high_school,midwest
505,Somewhat masculine,Not too important,employed,False,straight,white,college_graduate,west
506,Very masculine,Very important,not_employed,True,straight,white,college_graduate,southwest
507,Not very masculine,Not at all important,not_employed,False,straight,white,high_school,west
508,Very masculine,Somewhat important,not_employed,True,straight,white,college_graduate,midwest
509,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,west
510,Not very masculine,Not too important,not_employed,False,straight,white,no_high_school,northeast
511,Somewhat masculine,Somewhat important,employed,True,straight,not_white,high_school,west
512,Not very masculine,Not at all important,not_employed,True,straight,white,high_school,west
513,Somewhat masculine,Not too important,not_employed,False,not_straight,white,graduate,northeast
514,Very masculine,Not at all important,not_employed,False,not_straight,white,college_graduate,southwest
515,Somewhat masculine,Somewhat important,employed,True,straight,not_white,college_graduate,west
516,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
517,Very masculine,Very important,employed,True,straight,white,graduate,northeast
518,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southwest
519,Very masculine,Not too important,employed,True,straight,white,college_graduate,midwest
520,Somewhat masculine,Not at all important,not_employed,True,straight,white,high_school,midwest
521,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
522,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
523,Very masculine,Somewhat important,not_employed,False,straight,white,high_school,northeast
524,Very masculine,Very important,employed,True,straight,white,college_graduate,southwest
525,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,west
526,Very masculine,Not too important,employed,True,straight,white,graduate,midwest
527,Somewhat masculine,Not at all important,not_employed,True,straight,white,graduate,northeast
528,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,southeast
529,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,northeast
530,No answer,Not at all important,employed,True,straight,white,graduate,southeast
531,Very masculine,Very important,employed,True,straight,white,college_graduate,northeast
532,Very masculine,Not at all important,employed,True,straight,white,graduate,west
533,Very masculine,Very important,employed,False,straight,white,college_graduate,northeast
534,Very masculine,Not too important,employed,False,straight,white,college_graduate,southwest
535,Very masculine,Very important,not_employed,False,straight,white,graduate,west
536,Somewhat masculine,Not too important,not_employed,False,straight,white,college_graduate,west
537,Somewhat masculine,Not too important,employed,True,straight,white,graduate,southeast
538,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,midwest
539,Very masculine,Somewhat important,not_employed,False,straight,white,college_graduate,southwest
540,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,northeast
541,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,west
542,Very masculine,Somewhat important,employed,False,straight,white,high_school,southeast
543,Very masculine,Somewhat important,not_employed,False,straight,white,college_graduate,midwest
544,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southwest
545,Very masculine,Not too important,employed,True,straight,white,college_graduate,southeast
546,Not very masculine,Not too important,not_employed,True,straight,white,high_school,west
547,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,northeast
548,Very masculine,Not at all important,employed,True,straight,white,college_graduate,northeast
549,Somewhat masculine,Not too important,not_employed,False,not_straight,white,graduate,west
550,Very masculine,Not too important,employed,True,straight,white,graduate,west
551,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
552,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,west
553,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,west
554,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,southwest
555,Not very masculine,Not too important,employed,True,straight,white,college_graduate,west
556,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
557,Very masculine,Somewhat important,employed,False,straight,white,high_school,southeast
558,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,northeast
559,Somewhat masculine,Somewhat important,not_employed,False,straight,white,high_school,midwest
560,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,northeast
561,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southwest
562,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
563,Very masculine,Somewhat important,employed,True,straight,white,graduate,west
564,Somewhat masculine,Not too important,employed,True,straight,not_white,high_school,northeast
565,Somewhat masculine,Not too important,employed,False,straight,white,graduate,west
566,Somewhat masculine,Somewhat important,employed,False,no_answer,white,college_graduate,west
567,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,southwest
568,Not very masculine,Not too important,employed,False,straight,white,college_graduate,west
569,Very masculine,Very important,not_employed,True,straight,white,high_school,midwest
570,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,midwest
571,Very masculine,Not at all important,employed,True,not_straight,white,graduate,southeast
572,Very masculine,Very important,employed,False,not_straight,white,college_graduate,west
573,Somewhat masculine,Not too important,employed,True,straight,not_white,college_graduate,west
574,Very masculine,Not too important,employed,True,straight,white,high_school,midwest
575,Very masculine,Very important,employed,True,straight,white,high_school,west
576,Very masculine,Not at all important,employed,False,straight,white,graduate,midwest
577,Somewhat masculine,Not at all important,not_employed,False,straight,white,graduate,southeast
578,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,southeast
579,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,southwest
580,Somewhat masculine,Not too important,not_employed,False,straight,white,graduate,west
581,Very masculine,Very important,not_employed,True,straight,white,graduate,northeast
582,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,southwest
583,Not very masculine,Not at all important,employed,False,straight,white,graduate,southwest
584,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,midwest
585,No answer,Not at all important,employed,True,straight,white,high_school,west
586,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,southwest
587,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,west
588,Somewhat masculine,Not too important,not_employed,False,straight,white,college_graduate,west
589,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southeast
590,Somewhat masculine,Not at all important,not_employed,True,straight,not_white,high_school,southeast
591,Not at all masculine,Very important,not_employed,False,not_straight,not_white,high_school,midwest
592,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
593,Very masculine,Not too important,not_employed,True,straight,white,college_graduate,midwest
594,Somewhat masculine,Not at all important,not_employed,True,straight,white,college_graduate,midwest
595,Somewhat masculine,Not at all important,not_employed,True,straight,white,graduate,west
596,Very masculine,Not at all important,not_employed,True,straight,white,no_high_school,northeast
597,Somewhat masculine,Somewhat important,not_employed,False,straight,white,graduate,southeast
598,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
599,Very masculine,Not too important,not_employed,True,straight,white,graduate,west
600,Somewhat masculine,Not at all important,employed,True,straight,white,college_graduate,west
601,Somewhat masculine,Not at all important,employed,True,straight,white,high_school,southeast
602,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,midwest
603,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,northeast
604,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,midwest
605,Somewhat masculine,Not too important,employed,False,straight,white,graduate,northeast
606,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,northeast
607,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,northeast
608,Somewhat masculine,Somewhat important,not_employed,True,straight,not_white,high_school,southeast
609,Very masculine,Somewhat important,not_employed,True,not_straight,white,high_school,southwest
610,Very masculine,Very important,not_employed,True,straight,white,graduate,southwest
611,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,midwest
612,Somewhat masculine,Somewhat important,not_employed,False,straight,not_white,graduate,southeast
613,Very masculine,Very important,employed,True,straight,not_white,college_graduate,southwest
614,Not at all masculine,Not at all important,employed,False,straight,white,graduate,southeast
615,Somewhat masculine,No answer,not_employed,False,not_straight,white,high_school,southwest
616,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,southeast
617,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
618,Somewhat masculine,Not at all important,not_employed,True,straight,white,college_graduate,west
619,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,west
620,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,midwest
621,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,northeast
622,Somewhat masculine,Somewhat important,not_employed,False,not_straight,white,college_graduate,southeast
623,Very masculine,Not at all important,not_employed,False,not_straight,white,graduate,southeast
624,Very masculine,Not too important,employed,True,straight,not_white,high_school,west
625,Somewhat masculine,Somewhat important,not_employed,False,straight,white,college_graduate,southwest
626,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,southwest
627,Not very masculine,Not too important,not_employed,True,straight,not_white,graduate,southeast
628,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
629,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,southeast
630,Somewhat masculine,Somewhat important,not_employed,False,straight,white,high_school,northeast
631,Somewhat masculine,Not at all important,not_employed,True,straight,white,college_graduate,southeast
632,Very masculine,Somewhat important,employed,False,straight,white,college_graduate,west
633,Very masculine,Very important,employed,False,straight,white,college_graduate,southeast
634,Somewhat masculine,Somewhat important,employed,True,not_straight,not_white,graduate,northeast
635,Very masculine,Somewhat important,not_employed,True,no_answer,white,graduate,southwest
636,Very masculine,Not at all important,not_employed,True,straight,white,high_school,southeast
637,Somewhat masculine,Not at all important,employed,True,straight,white,graduate,southeast
638,Somewhat masculine,Not too important,employed,False,straight,not_white,graduate,northeast
639,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,midwest
640,Very masculine,Not too important,not_employed,True,straight,white,graduate,southwest
641,Very masculine,Very important,not_employed,False,straight,white,college_graduate,southeast
642,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southwest
643,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,southwest
644,Somewhat masculine,Somewhat important,employed,False,straight,white,high_school,northeast
645,Very masculine,Very important,not_employed,True,straight,white,high_school,southwest
646,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,midwest
647,Very masculine,Somewhat important,employed,True,straight,not_white,college_graduate,northeast
648,Somewhat masculine,Very important,not_employed,True,straight,white,graduate,southeast
649,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,southwest
650,Very masculine,Not too important,not_employed,True,not_straight,white,graduate,midwest
651,Somewhat masculine,Not too important,employed,False,straight,white,college_graduate,northeast
652,Somewhat masculine,Not at all important,not_employed,True,straight,white,graduate,midwest
653,Very masculine,Somewhat important,employed,True,straight,white,high_school,midwest
654,Very masculine,Somewhat important,not_employed,False,straight,white,graduate,west
655,Not at all masculine,Not at all important,not_employed,False,not_straight,white,graduate,northeast
656,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,midwest
657,Not very masculine,Somewhat important,employed,True,straight,not_white,no_high_school,west
658,Somewhat masculine,Very important,employed,True,straight,white,graduate,midwest
659,Not at all masculine,Not at all important,not_employed,True,straight,white,college_graduate,northeast
660,Very masculine,Very important,not_employed,True,straight,white,college_graduate,northeast
661,Somewhat masculine,Not too important,employed,False,straight,white,college_graduate,west
662,Very masculine,Somewhat important,employed,True,straight,white,high_school,west
663,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,southeast
664,Somewhat masculine,Not at all important,not_employed,False,not_straight,not_white,graduate,northeast
665,Very masculine,Very important,not_employed,False,straight,white,high_school,southeast
666,Very masculine,Somewhat important,employed,True,straight,not_white,college_graduate,west
667,Very masculine,Not too important,employed,True,straight,not_white,graduate,southwest
668,Very masculine,Not at all important,not_employed,False,straight,white,graduate,southeast
669,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,midwest
670,Somewhat masculine,Somewhat important,employed,False,not_straight,not_white,college_graduate,west
671,Not very masculine,Not at all important,not_employed,True,straight,white,college_graduate,west
672,Very masculine,Not at all important,not_employed,True,straight,white,high_school,southwest
673,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,northeast
674,Very masculine,Somewhat important,employed,True,straight,not_white,college_graduate,southeast
675,Very masculine,Very important,employed,True,straight,white,college_graduate,southeast
676,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,west
677,Somewhat masculine,Somewhat important,employed,True,straight,not_white,graduate,southeast
678,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,west
679,Somewhat masculine,Somewhat important,employed,False,not_straight,white,high_school,northeast
680,Somewhat masculine,Not too important,employed,False,straight,white,graduate,west
681,Very masculine,Somewhat important,not_employed,False,straight,white,graduate,west
682,Not very masculine,Not at all important,employed,True,straight,white,college_graduate,northeast
683,Somewhat masculine,Not at all important,employed,False,not_straight,white,college_graduate,midwest
684,Not very masculine,Not too important,employed,True,straight,white,graduate,midwest
685,Somewhat masculine,Not too important,not_employed,False,straight,white,college_graduate,midwest
686,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,southeast
687,Very masculine,Very important,not_employed,True,straight,white,high_school,west
688,Somewhat masculine,Very important,not_employed,True,straight,white,high_school,midwest
689,Somewhat masculine,Not too important,not_employed,False,not_straight,not_white,high_school,southwest
690,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southeast
691,Very masculine,Not at all important,employed,True,straight,white,high_school,west
692,Very masculine,Not too important,not_employed,True,straight,white,high_school,midwest
693,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,west
694,Not very masculine,Not too important,not_employed,True,straight,white,graduate,southwest
695,Somewhat masculine,Not too important,not_employed,False,straight,white,high_school,northeast
696,Very masculine,Not at all important,not_employed,True,straight,white,college_graduate,northeast
697,Very masculine,Not too important,not_employed,True,straight,not_white,high_school,southeast
698,Somewhat masculine,Somewhat important,employed,False,straight,white,high_school,midwest
699,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,midwest
700,Somewhat masculine,Very important,not_employed,True,straight,white,graduate,west
701,Very masculine,Not at all important,not_employed,False,straight,white,high_school,southwest
702,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,midwest
703,Somewhat masculine,Somewhat important,not_employed,False,straight,not_white,college_graduate,west
704,Somewhat masculine,Not too important,not_employed,False,not_straight,white,graduate,west
705,Not very masculine,Not too important,employed,False,straight,not_white,high_school,west
706,Somewhat masculine,Somewhat important,employed,True,straight,not_white,graduate,northeast
707,Somewhat masculine,Not too important,not_employed,False,straight,white,high_school,southeast
708,Very masculine,Not at all important,not_employed,True,straight,not_white,graduate,southeast
709,Somewhat masculine,Not too important,not_employed,False,not_straight,white,graduate,southeast
710,Somewhat masculine,Somewhat important,not_employed,False,not_straight,white,graduate,southwest
711,Not at all masculine,Not at all important,not_employed,False,straight,white,high_school,west
712,Somewhat masculine,Not at all important,not_employed,True,straight,white,high_school,west
713,Somewhat masculine,Not too important,employed,True,straight,not_white,college_graduate,west
714,Very masculine,Somewhat important,employed,False,straight,white,college_graduate,west
715,Somewhat masculine,Very important,employed,True,straight,white,high_school,southwest
716,Very masculine,Somewhat important,employed,True,straight,white,high_school,southwest
717,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southeast
718,Very masculine,Somewhat important,employed,True,straight,white,high_school,west
719,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,southwest
720,Somewhat masculine,Not too important,not_employed,True,not_straight,white,graduate,northeast
721,Somewhat masculine,Somewhat important,employed,False,not_straight,white,graduate,southeast
722,Somewhat masculine,Very important,not_employed,False,straight,white,graduate,midwest
723,Somewhat masculine,Very important,employed,True,straight,white,high_school,southwest
724,Very masculine,Somewhat important,employed,False,straight,not_white,high_school,northeast
725,Very masculine,Very important,not_employed,True,straight,not_white,graduate,southeast
726,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
727,Somewhat masculine,Somewhat important,not_employed,False,not_straight,white,graduate,midwest
728,Very masculine,Not too important,not_employed,True,straight,white,graduate,midwest
729,Somewhat masculine,Not too important,not_employed,True,straight,not_white,graduate,northeast
730,Very masculine,Very important,employed,True,straight,not_white,college_graduate,west
731,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
732,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,northeast
733,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,northeast
734,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,west
735,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,southwest
736,Very masculine,Not too important,not_employed,True,straight,white,high_school,southwest
737,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,northeast
738,Very masculine,Not too important,employed,True,straight,white,college_graduate,midwest
739,Somewhat masculine,Not at all important,not_employed,True,straight,white,graduate,southeast
740,Somewhat masculine,Very important,not_employed,True,straight,not_white,graduate,southeast
741,Very masculine,Somewhat important,not_employed,False,straight,white,graduate,northeast
742,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,west
743,No answer,No answer,not_employed,False,not_straight,white,college_graduate,west
744,Somewhat masculine,Very important,employed,True,straight,white,graduate,midwest
745,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
746,Very masculine,Not too important,employed,True,straight,white,college_graduate,southeast
747,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,west
748,Somewhat masculine,Not at all important,not_employed,False,straight,white,high_school,southwest
749,Very masculine,Not too important,not_employed,True,straight,white,graduate,northeast
750,Somewhat masculine,Not at all important,employed,False,not_straight,white,graduate,northeast
751,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,southeast
752,Very masculine,Not too important,employed,True,straight,not_white,high_school,midwest
753,Very masculine,Very important,not_employed,False,not_straight,white,high_school,west
754,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,northeast
755,Very masculine,Very important,employed,True,straight,white,high_school,southeast
756,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,midwest
757,Very masculine,Very important,not_employed,False,straight,white,college_graduate,midwest
758,Very masculine,Not too important,not_employed,True,straight,white,graduate,northeast
759,Very masculine,Not too important,employed,True,straight,white,high_school,midwest
760,Somewhat masculine,Somewhat important,not_employed,True,straight,not_white,graduate,midwest
761,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,northeast
762,Somewhat masculine,Somewhat important,employed,False,not_straight,white,college_graduate,northeast
763,Somewhat masculine,Somewhat important,employed,False,straight,white,graduate,southeast
764,Somewhat masculine,Not too important,employed,True,straight,white,graduate,southeast
765,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southwest
766,Very masculine,Not too important,not_employed,True,straight,white,graduate,southeast
767,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,northeast
768,No answer,Not at all important,employed,False,straight,white,high_school,southeast
769,Very masculine,Not too important,employed,True,straight,white,graduate,northeast
770,Very masculine,Somewhat important,employed,True,straight,not_white,college_graduate,southeast
771,Not very masculine,Not too important,employed,False,not_straight,white,high_school,midwest
772,Not very masculine,Not too important,employed,True,straight,white,graduate,midwest
773,Very masculine,Somewhat important,employed,True,straight,white,graduate,northeast
774,Very masculine,Very important,employed,True,straight,white,college_graduate,midwest
775,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,northeast
776,Very masculine,Not too important,not_employed,True,straight,white,high_school,midwest
777,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,northeast
778,Somewhat masculine,Somewhat important,not_employed,True,straight,not_white,graduate,northeast
779,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,midwest
780,Very masculine,Somewhat important,not_employed,False,not_straight,not_white,graduate,northeast
781,Very masculine,Not too important,employed,True,straight,white,college_graduate,southeast
782,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
783,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
784,Somewhat masculine,Not too important,not_employed,True,not_straight,not_white,high_school,southwest
785,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,west
786,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
787,Somewhat masculine,Not too important,not_employed,False,straight,white,high_school,northeast
788,Very masculine,Not too important,employed,True,straight,white,high_school,midwest
789,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,southwest
790,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,southwest
791,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,midwest
792,Somewhat masculine,Very important,not_employed,True,straight,white,high_school,west
